,country,time,gdp_pcap
0,afg,1800,480.75476
1,afg,1801,480.75476
2,afg,1802,480.75476
3,afg,1803,480.75476
4,afg,1804,480.75476
5,afg,1805,480.75476
6,afg,1806,480.75476
7,afg,1807,480.75476
8,afg,1808,480.75476
9,afg,1809,480.75476
10,afg,1810,480.75476
11,afg,1811,480.75476
12,afg,1812,480.75476
13,afg,1813,480.75476
14,afg,1814,480.75476
15,afg,1815,480.75476
16,afg,1816,480.75476
17,afg,1817,480.75476
18,afg,1818,480.75476
19,afg,1819,480.75476
20,afg,1820,480.75476
21,afg,1821,480.75476
22,afg,1822,481.84405
23,afg,1823,482.93582
24,afg,1824,484.03006
25,afg,1825,485.12678
26,afg,1826,486.22598
27,afg,1827,487.32768
28,afg,1828,488.43187
29,afg,1829,489.53856
30,afg,1830,490.64776
31,afg,1831,491.75947
32,afg,1832,492.8737
33,afg,1833,493.99046
34,afg,1834,495.10975
35,afg,1835,496.23157
36,afg,1836,497.35594
37,afg,1837,498.48285
38,afg,1838,499.61231
39,afg,1839,500.74434
40,afg,1840,501.87893
41,afg,1841,503.01609
42,afg,1842,504.15583
43,afg,1843,505.29815
44,afg,1844,506.44306
45,afg,1845,507.59056
46,afg,1846,508.74066
47,afg,1847,509.89337
48,afg,1848,511.04869
49,afg,1849,512.20663
50,afg,1850,513.36719
51,afg,1851,514.53038
52,afg,1852,515.6962
53,afg,1853,516.86467
54,afg,1854,518.03579
55,afg,1855,519.20956
56,afg,1856,520.38599
57,afg,1857,521.56508
58,afg,1858,522.74685
59,afg,1859,523.93129
60,afg,1860,525.11842
61,afg,1861,526.30823
62,afg,1862,527.50075
63,afg,1863,528.69596
64,afg,1864,529.89388
65,afg,1865,531.09452
66,afg,1866,532.29788
67,afg,1867,533.50396
68,afg,1868,534.71278
69,afg,1869,535.92434
70,afg,1870,537.13864
71,afg,1871,538.35569
72,afg,1872,539.5755
73,afg,1873,540.79807
74,afg,1874,542.02342
75,afg,1875,543.25154
76,afg,1876,544.48244
77,afg,1877,545.71613
78,afg,1878,546.95262
79,afg,1879,548.19191
80,afg,1880,549.43401
81,afg,1881,549.43401
82,afg,1882,556.37631
83,afg,1883,563.40633
84,afg,1884,570.52518
85,afg,1885,577.73398
86,afg,1886,585.03387
87,afg,1887,592.42599
88,afg,1888,599.91151
89,afg,1889,607.49162
90,afg,1890,615.1675
91,afg,1891,622.94037
92,afg,1892,630.81146
93,afg,1893,638.782
94,afg,1894,646.85325
95,afg,1895,655.02648
96,afg,1896,663.30298
97,afg,1897,671.68406
98,afg,1898,680.17104
99,afg,1899,688.76526
100,afg,1900,697.46807
101,afg,1901,706.28083
102,afg,1902,715.20496
103,afg,1903,724.24184
104,afg,1904,733.39291
105,afg,1905,742.6596
106,afg,1906,752.04338
107,afg,1907,761.54573
108,afg,1908,771.16814
109,afg,1909,780.91214
110,afg,1910,790.77926
111,afg,1911,800.77105
112,afg,1912,810.88909
113,afg,1913,821.13498
114,afg,1914,831.51033
115,afg,1915,842.01677
116,afg,1916,852.65597
117,afg,1917,863.42959
118,afg,1918,874.33935
119,afg,1919,885.38695
120,afg,1920,896.57415
121,afg,1921,907.9027
122,afg,1922,919.37439
123,afg,1923,930.99103
124,afg,1924,942.75445
125,afg,1925,954.6665
126,afg,1926,966.72907
127,afg,1927,978.94405
128,afg,1928,991.31338
129,afg,1929,1003.83899
130,afg,1930,1016.52287
131,afg,1931,1029.36702
132,afg,1932,1042.37345
133,afg,1933,1055.54423
134,afg,1934,1068.88143
135,afg,1935,1082.38714
136,afg,1936,1096.06351
