,country,time,pop
0,afg,1800,3280000
1,afg,1801,3280000
2,afg,1802,3280000
3,afg,1803,3280000
4,afg,1804,3280000
5,afg,1805,3280000
6,afg,1806,3280000
7,afg,1807,3280000
8,afg,1808,3280000
9,afg,1809,3280000
10,afg,1810,3280000
11,afg,1811,3280000
12,afg,1812,3280000
13,afg,1813,3280000
14,afg,1814,3280000
15,afg,1815,3280000
16,afg,1816,3280000
17,afg,1817,3280000
18,afg,1818,3280000
19,afg,1819,3282935
20,afg,1820,3288817
21,afg,1821,3297661
22,afg,1822,3309479
23,afg,1823,3324285
24,afg,1824,3339157
25,afg,1825,3354095
26,afg,1826,3369101
27,afg,1827,3384173
28,afg,1828,3399313
29,afg,1829,3414520
30,afg,1830,3429796
31,afg,1831,3445140
32,afg,1832,3460553
33,afg,1833,3476034
34,afg,1834,3491585
35,afg,1835,3507205
36,afg,1836,3522896
37,afg,1837,3538656
38,afg,1838,3554487
39,afg,1839,3570389
40,afg,1840,3586362
41,afg,1841,3602406
42,afg,1842,3618522
43,afg,1843,3634711
44,afg,1844,3650971
45,afg,1845,3667305
46,afg,1846,3683711
47,afg,1847,3700191
48,afg,1848,3716745
49,afg,1849,3734342
50,afg,1850,3752993
51,afg,1851,3769994
52,afg,1852,3788039
53,afg,1853,3807137
54,afg,1854,3826330
55,afg,1855,3845617
56,afg,1856,3865000
57,afg,1857,3884478
58,afg,1858,3904052
59,afg,1859,3923723
60,afg,1860,3943490
61,afg,1861,3963356
62,afg,1862,3983319
63,afg,1863,4003381
64,afg,1864,4023542
65,afg,1865,4043802
66,afg,1866,4064162
67,afg,1867,4084622
68,afg,1868,4105183
69,afg,1869,4125851
70,afg,1870,4146626
71,afg,1871,4167509
72,afg,1872,4188501
73,afg,1873,4209601
74,afg,1874,4230806
75,afg,1875,4252115
76,afg,1876,4273529
77,afg,1877,4295049
78,afg,1878,4316674
79,afg,1879,4338407
80,afg,1880,4360246
81,afg,1881,4382193
82,afg,1882,4404248
83,afg,1883,4426411
84,afg,1884,4448684
85,afg,1885,4471066
86,afg,1886,4493558
87,afg,1887,4516162
88,afg,1888,4538876
89,afg,1889,4561702
90,afg,1890,4584640
91,afg,1891,4607691
92,afg,1892,4630856
93,afg,1893,4654134
94,afg,1894,4677527
95,afg,1895,4701035
96,afg,1896,4724659
97,afg,1897,4748398
98,afg,1898,4772254
99,afg,1899,4803896
100,afg,1900,4843455
101,afg,1901,4891067
102,afg,1902,4946868
103,afg,1903,5010996
104,afg,1904,5075953
105,afg,1905,5141750
106,afg,1906,5208396
107,afg,1907,5275903
108,afg,1908,5344282
109,afg,1909,5482676
110,afg,1910,5697189
111,afg,1911,5994398
112,afg,1912,6381387
113,afg,1913,6865792
114,afg,1914,7386963
115,afg,1915,7947691
116,afg,1916,8550978
117,afg,1917,9200053
118,afg,1918,9905878
119,afg,1919,10370737
120,afg,1920,10591626
121,afg,1921,10564504
122,afg,1922,10284244
123,afg,1923,9744601
124,afg,1924,9233274
125,afg,1925,8748779
126,afg,1926,8289705
127,afg,1927,7854721
128,afg,1928,7442562
129,afg,1929,7121951
130,afg,1930,6888085
131,afg,1931,6736411
132,afg,1932,6662618
133,afg,1933,6662618
134,afg,1934,6662618
135,afg,1935,6662618
136,afg,1936,6662618
137,afg,1937,6662618
138,afg,1938,6662618
139,afg,1939,6683048
140,afg,1940,6724220
141,afg,1941,6786454
142,afg,1942,6870072
143,afg,1943,6975401
144,afg,1944,7082346
145,afg,1945,7190930
146,afg,1946,7301178
147,afg,1947,7413117
148,afg,1948,7526773
149,afg,1949,7647720
150,afg,1950,7776176
151,afg,1951,7879339
152,afg,1952,7987783
153,afg,1953,8096698
154,afg,1954,8207950
155,afg,1955,8326979
156,afg,1956,8454301
157,afg,1957,8588335
158,afg,1958,8723401
159,afg,1959,8869270
160,afg,1960,9035043
161,afg,1961,9214083
162,afg,1962,9404406
163,afg,1963,9604487
164,afg,1964,9814318
165,afg,1965,10036008
166,afg,1966,10266395
167,afg,1967,10505959
168,afg,1968,10756922
169,afg,1969,11017409
170,afg,1970,11290128
171,afg,1971,11567667
172,afg,1972,11853696
173,afg,1973,12157999
174,afg,1974,12469127
175,afg,1975,12773954
176,afg,1976,13059851
177,afg,1977,13340756
178,afg,1978,13611441
179,afg,1979,13655567
180,afg,1980,13169311
181,afg,1981,11937581
182,afg,1982,10991378
183,afg,1983,10917982
184,afg,1984,11190221
185,afg,1985,11426852
186,afg,1986,11420074
187,afg,1987,11387818
188,afg,1988,11523298
189,afg,1989,11874088
190,afg,1990,12045660
191,afg,1991,12238879
192,afg,1992,13278974
193,afg,1993,14943172
194,afg,1994,16250794
195,afg,1995,17065836
196,afg,1996,17763266
197,afg,1997,18452091
198,afg,1998,19159996
199,afg,1999,19887785
200,afg,2000,20130327
201,afg,2001,20284307
202,afg,2002,21378117
203,afg,2003,22733049
204,afg,2004,23560654
205,afg,2005,24404567
206,afg,2006,25424094
207,afg,2007,25909852
208,afg,2008,26482622
209,afg,2009,27466101
210,afg,2010,28284089
211,afg,2011,29347708
212,afg,2012,30560034
213,afg,2013,31622704
214,afg,2014,32792523
215,afg,2015,33831764
216,afg,2016,34700612
217,afg,2017,35688935
218,afg,2018,36743039
219,afg,2019,37856121
220,afg,2020,39068979
221,afg,2021,40000412
222,afg,2022,40578842
223,afg,2023,41454761
224,afg,2024,42647492
225,afg,2025,43844111
226,afg,2026,45047069
227,afg,2027,46258906
228,afg,2028,47470575
229,afg,2029,48725717
230,afg,2030,50039402
231,afg,2031,51376001
232,afg,2032,52707848
233,afg,2033,54044254
234,afg,2034,55359464
235,afg,2035,56647232
236,afg,2036,57953661
237,afg,2037,59279044
238,afg,2038,60597838
239,afg,2039,61944472
240,afg,2040,63347870
241,afg,2041,64738843
242,afg,2042,66060220
243,afg,2043,67375163
244,afg,2044,68703958
245,afg,2045,70021200
246,afg,2046,71384693
247,afg,2047,72756311
248,afg,2048,74109735
249,afg,2049,75515602
250,afg,2050,76885135
251,afg,2051,78155052
252,afg,2052,79457286
253,afg,2053,80821896
254,afg,2054,82196810
255,afg,2055,83578886
256,afg,2056,84980652
257,afg,2057,86393649
258,afg,2058,87773542
259,afg,2059,89081741
260,afg,2060,90362736
261,afg,2061,91633723
262,afg,2062,92931629
263,afg,2063,94276121
264,afg,2064,95639081
265,afg,2065,97024251
266,afg,2066,98338760
267,afg,2067,99577253
268,afg,2068,100850614
269,afg,2069,102132889
270,afg,2070,103416642
271,afg,2071,104657106
272,afg,2072,105836162
273,afg,2073,107063245
274,afg,2074,108265518
275,afg,2075,109352869
276,afg,2076,110399880
277,afg,2077,111475822
278,afg,2078,112514314
279,afg,2079,113583427
280,afg,2080,114673795
281,afg,2081,115634326
282,afg,2082,116516232
283,afg,2083,117378535
284,afg,2084,118292973
285,afg,2085,119224273
286,afg,2086,120043239
287,afg,2087,120858257
288,afg,2088,121694041
289,afg,2089,122483519
290,afg,2090,123304496
291,afg,2091,124110001
292,afg,2092,124854162
293,afg,2093,125589411
294,afg,2094,126306889
295,afg,2095,126990147
296,afg,2096,127647762
297,afg,2097,128305496
298,afg,2098,128964762
299,afg,2099,129616118
300,afg,2100,130216739
301,ago,1800,1567028
302,ago,1801,1567028
303,ago,1802,1567028
304,ago,1803,1567028
305,ago,1804,1567028
306,ago,1805,1567028
307,ago,1806,1567028
308,ago,1807,1567028
309,ago,1808,1567028
310,ago,1809,1567028
311,ago,1810,1567028
312,ago,1811,1567028
313,ago,1812,1567028
314,ago,1813,1567028
315,ago,1814,1567028
316,ago,1815,1567028
317,ago,1816,1567028
318,ago,1817,1567028
319,ago,1818,1567028
320,ago,1819,1571640
321,ago,1820,1580933
322,ago,1821,1594974
323,ago,1822,1613834
324,ago,1823,1637584
325,ago,1824,1661683
326,ago,1825,1686138
327,ago,1826,1710952
328,ago,1827,1736131
329,ago,1828,1761680
330,ago,1829,1787606
331,ago,1830,1813913
332,ago,1831,1840608
333,ago,1832,1867695
334,ago,1833,1895181
335,ago,1834,1923071
336,ago,1835,1951372
337,ago,1836,1980089
338,ago,1837,2009229
339,ago,1838,2038798
340,ago,1839,2068802
341,ago,1840,2099247
342,ago,1841,2130141
343,ago,1842,2161489
344,ago,1843,2193299
345,ago,1844,2225576
346,ago,1845,2258329
347,ago,1846,2291563
348,ago,1847,2325287
349,ago,1848,2359507
350,ago,1849,2390443
351,ago,1850,2418020
352,ago,1851,2445672
353,ago,1852,2469872
354,ago,1853,2490526
355,ago,1854,2511347
356,ago,1855,2532337
357,ago,1856,2553497
358,ago,1857,2574829
359,ago,1858,2596334
360,ago,1859,2618055
361,ago,1860,2639996
362,ago,1861,2662158
363,ago,1862,2684543
364,ago,1863,2707154
365,ago,1864,2729949
366,ago,1865,2752931
367,ago,1866,2776102
368,ago,1867,2799461
369,ago,1868,2823012
370,ago,1869,2845635
371,ago,1870,2867312
372,ago,1871,2888028
373,ago,1872,2907765
374,ago,1873,2926507
375,ago,1874,2945363
376,ago,1875,2964335
377,ago,1876,2983423
378,ago,1877,3002629
379,ago,1878,3021953
380,ago,1879,3041381
381,ago,1880,3060916
382,ago,1881,3080556
383,ago,1882,3100303
384,ago,1883,3120158
385,ago,1884,3140134
386,ago,1885,3160231
387,ago,1886,3180452
388,ago,1887,3200795
389,ago,1888,3221263
390,ago,1889,3235340
391,ago,1890,3243000
392,ago,1891,3244216
393,ago,1892,3238963
394,ago,1893,3227213
395,ago,1894,3215499
396,ago,1895,3203823
397,ago,1896,3192182
398,ago,1897,3180579
399,ago,1898,3169012
400,ago,1899,3155581
401,ago,1900,3140304
402,ago,1901,3123196
403,ago,1902,3104276
404,ago,1903,3083560
405,ago,1904,3062976
406,ago,1905,3042524
407,ago,1906,3022203
408,ago,1907,3002013
409,ago,1908,2981952
410,ago,1909,2964371
411,ago,1910,2949249
412,ago,1911,2936568
413,ago,1912,2926307
414,ago,1913,2918448
415,ago,1914,2910605
416,ago,1915,2902777
417,ago,1916,2894966
418,ago,1917,2887171
419,ago,1918,2875622
420,ago,1919,2874960
421,ago,1920,2885302
422,ago,1921,2906771
423,ago,1922,2939489
424,ago,1923,2983582
425,ago,1924,3028335
426,ago,1925,3073761
427,ago,1926,3119867
428,ago,1927,3166665
429,ago,1928,3214165
430,ago,1929,3261716
431,ago,1930,3309308
432,ago,1931,3356933
433,ago,1932,3404583
434,ago,1933,3452247
